param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
5.0,5.0,0.0,0.0,15.0,0.0,24.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,1.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,2.0,14.0,0.0,24.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,3.0,15.0,0.0,23.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,4.0,12.0,0.0,19.0,7.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,5.0,18.0,0.0,20.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,6.0,11.0,0.0,27.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,7.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,8.0,21.0,0.0,17.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.0,9.0,12.0,0.0,26.0,0.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,0.0,15.0,0.0,5.0,19.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,1.0,11.0,1.0,2.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,2.0,13.0,1.0,1.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,3.0,14.0,1.0,1.0,22.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,4.0,11.0,1.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,5.0,17.0,1.0,2.0,18.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,6.0,10.0,1.0,0.0,27.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,7.0,12.0,0.0,1.0,25.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,8.0,21.0,0.0,1.0,16.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.4,9.0,12.0,0.0,3.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,0.0,15.0,0.0,4.0,20.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,1.0,12.0,0.0,1.0,25.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_7_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,3.0,13.0,2.0,0.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,4.0,11.0,1.0,2.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_0_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,5.0,18.0,0.0,2.0,18.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,6.0,9.0,2.0,1.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,7.0,12.0,0.0,3.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_9_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,8.0,19.0,2.0,0.0,17.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_4_rule_5_var_per_rule_5.ftt
5.0,5.0,0.3,9.0,12.0,0.0,3.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.0_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,0.0,15.0,0.0,2.0,22.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,1.0,12.0,0.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_1_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,2.0,13.0,1.0,0.0,24.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_5_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,3.0,13.0,2.0,0.0,23.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_2_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,4.0,10.0,2.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,5.0,18.0,0.0,1.0,19.0,exps_lab_lfa_senSpe_2_weigh_actual_0.3_conf_A_CV_8_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,6.0,9.0,2.0,1.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,7.0,12.0,0.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_3_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,8.0,16.0,5.0,1.0,16.0,exps_lab_lfa_senSpe_2_weigh_actual_0.7_conf_A_CV_6_rule_5_var_per_rule_5.ftt
5.0,5.0,0.7,9.0,11.0,1.0,0.0,26.0,exps_lab_lfa_senSpe_2_weigh_actual_0.4_conf_A_CV_9_rule_5_var_per_rule_5.ftt
